ID,calorie,water,carbohydrate,fiber,sugar,protein,fat,sfat,cholesterol,sodium,potassium,calcium,vit_A,vit_C,vit_D,vit_E,vit_K,vit_B6,vit_B12,thiamin,riboflavin,niacin,iron,folat,pantotenik,fosfor,magnesium,cinko,copper,selenium,manganese,Class
73,332,19.38,72.23,0.8,52.56,2.42,5.49,4.765,0,112.0,63.0,5.0,0.0,0.1,0.0,0.06,0,41,0,5,22,134,0.48,2,0,23,10,0.31,126,4.9,0,Mix
74,56.14,88.63,5.48,1.47,2.16,1.41,3.61,0.49,0.89,120.38,160.99,33.96,1137.04,8.78,3.91,0.84,7.26,0.07,0.07,0.05,0.08,0.1,0.46,16.42,0.13,32.79,10.95,0.2,0.06,0.44,0.15,Bitkisel
75,107.53,76.55,16.37,01.04,02.04,1.72,04.05,0.57,0,353.62,149.65,12.57,1226.15,33.14,0.0,0.98,17.6,0.13,0,0.12,0.02,0,1.12,47.07,0.26,30.97,13.13,0.29,0.07,2.71,0.27,Bitkisel
76,308.76,34.87,44.91,2.14,1.94,09.03,9.98,2.12,96.02,204.73,122.55,61.23,2824.69,0.23,26.53,2.14,0.56,0.09,0.25,0.6,0.41,3.81,3.22,146.04,0.78,131.3,20.95,0.91,0.17,24.88,0.4,Mix
77,18,Gram,4.3,2.9,1.8,0.9,0.1,0,0,661.0,170.0,30.0,18.0,14.7,0.0,0,0,0.1,0,0,0,0,1.5,0,0,0,13,0,0,0,0,Bitkisel
78,882,0.2,0,0,0,0,99.8,33.2,100,0.0,0.0,0.0,0.0,0,191.0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,Hayvansal
79,298,47.07,17.88,1.8,0.8,13.36,19.23,3.998,36,600.0,229.0,52.0,12.0,0.4,0.3,2.13,11.1,233,0.52,92,163,3.639,01.06,5,0,183,28,0.87,111,18.9,0,Hayvansal
80,46,87.2,11.02,1.6,09.02,0.92,0.44,0.1,0,1.0,124.0,13.0,870.0,1.7,0.0,0.05,1.5,67,0,44,34,137,0.53,5,178,16,9,0.1,0.09,0,57,Bitkisel
81,86,77.28,20.12,3,4.18,1.57,0.05,18,0,55.0,337.0,30.0,14187.0,2.4,0.0,0.26,1.8,209,0,78,61,55.700.000,0.61,11,0.8,47,25,0.3,151,60.000.000,258,Bitkisel
82,52,872.600.000,8.1,60.000.000,2.13,1.21,1.69,0.53,3,383.0,374.0,13.0,8.0,0,0.0,0.16,0.4,0.04,0.02,42,192,0.17,0.48,10,0,51,5,0.36,0.22,1.8,59,Mix
83,105,71.87,7.66,0,5.48,15.69,1,644,12,702.0,278.0,351.0,53.0,0,0.0,0.02,0.2,0.05,0.95,0.04,265,0.23,0.19,35,0.84,523,22,1.5,36,4.9,17,Hayvansal
84,65,81.88,16.28,2.6,13.59,0.8,0.08,13,0,264.0,148.0,11.0,49.0,2.3,0.0,0.06,0.3,0.05,0,0.01,48,251,0.41,27,137,17,15,0.26,116,1,0.22,Bitkisel
85,36.43,91.55,3.97,0.9,2.67,1.53,1.93,0.25,01.01,151.05,224.99,31.03,1500.31,17.67,3.23,0.3,3.54,0.1,0.06,0.05,0.06,0.43,0.49,17.38,0.16,40.36,20.91,0.3,0.08,0.6,0.17,Bitkisel
86,199,54.04,36.25,1.88,0.5,4.46,3.79,0.85,0,328.48,200.37,11.59,2584.57,5.25,0.0,0.18,24.71,0.15,0,0.33,0.18,0,1.87,51.02,0.4,57.9,17.82,0.39,0.13,12,0.31,Bitkisel
87,659,3.42,11.74,7.5,2.33,14.32,670.999.999,16.134,0,3.0,659.0,160.0,0.0,0.7,0.0,5.65,0,101,0,617,35,295,2.43,22,184,725,376,04.06,1.743,1917,1.223,Bitkisel
88,17,94,04.07,1.6,0,0.7,0.1,11,0,170.0,400.0,70.0,0.0,2,0.0,0,0,116,0,0.02,0.03,0.3,0.7,68,338,23,42,0.17,231,0.2,256,Bitkisel
89,281,22.63,51.42,21.6,0,11.86,819.999.999,0.82,0,43.0,2411.0,61.0,20438.0,2,0.0,0,0,3.535,0,179,2.255,6.403,10.93,69,1.993,201,113,1.42,508,2.9,1.279,Bitkisel
90,0.2,995.400.000,0,0,0,0,0,0,0,8.0,8.0,3.0,0.0,0,0.0,0,0,0,0,5,23,0,0.11,0,0,9,1,0.01,2,0,0,Mix
91,23,92.5,2.71,2.1,0,2.98,0.78,0,0,55.0,256.0,124.0,1158.0,5.9,0.0,0,0,8.600.000,0,106,129,787,1.48,114,135,36,48,0.3,111,0.9,255,Bitkisel
92,37,913.499.999,3.78,2.1,2.42,1.19,2.44,0.34,0,258.0,164.0,49.0,0.0,13.7,0.0,0.71,19.7,138,0,387,54,755,0.45,22,0,22,20,0.24,64,0.6,0,Bitkisel
93,254,57.7,0,0,0,25.25,16.17,6.159,88,67.0,271.0,23.0,9.0,0,2.0,0.12,1.5,329,2.49,44,171,4.627,2.58,7,569,179,19,6.24,79,20.3,899.999,Hayvansal
94,344,32.43,45.47,0.4,25.12,4.55,16.08,3.171,68,514.0,61.0,76.0,29.0,0,0.4,1.66,11.8,38,0.16,145,175,1.332,1.22,48,0,179,8,0.39,49,6.9,0,Mix
95,503,11.66,52,2.7,3.1,4.7,31,3.1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Mix
96,333,34.62,31.84,0,0,13.31,17.8,2.383,0,294.0,585.0,54.0,13.0,1.6,0.0,0,0,125,0,146,166,1.044,3.42,93,292,192,82,1.5,258,1,69.099.999,Bitkisel
97,161.45,68.74,17.9,1.11,2.11,4.51,7.95,2.1,11.11,186.57,139.3,122.92,67.05,0.49,0.0,0.66,9.37,0.08,0,0.1,0.06,0,1.74,17.59,0.13,58.66,10.98,1.12,0.02,6.79,0.1,Mix
98,444.83,31.06,11.99,5.91,03.03,13.73,40.73,4.32,74.44,194.29,433.8,164.59,135.55,03.01,16.41,12.99,6.29,0.16,0.18,0.08,0.68,1.91,2.49,45.42,0.41,298.64,149.87,02.09,0.65,7.49,0.59,Mix
